"cluster","trt_st","emmean","SE","df","letra"
"1","SER:embryo",0.0470378124717268,0.242086756606604,18," a "
"1","FLX:embryo",0.0520074562585122,0.242086756606604,18," a "
"1","CTR:embryo",0.233845254245571,0.39532601811435,18," ab"
"1","TBT:embryo",1.69117845531599,0.39532601811435,18,"  b"
"1","TBT:provisioned_egg",-0.50705270742146,0.0370870255525963,23," a"
"1","FLX:provisioned_egg",-0.492605148918555,0.0302814295604741,23," a"
"1","CTR:provisioned_egg",-0.47344203397133,0.0524489745245593,23," a"
"1","SER:provisioned_egg",-0.472455267185397,0.0302814295604741,23," a"
"1","CTR:unprovisioned_egg",-0.249493168204085,0.408827125980352,22," a"
"1","TBT:unprovisioned_egg",0.0491636252297789,0.316676130079949,22," a"
"1","FLX:unprovisioned_egg",0.156016599675438,0.236036451236777,22," a"
"1","SER:unprovisioned_egg",0.631029421581795,0.236036451236777,22," a"
"2","FLX:embryo",-0.249482866522755,0.12788449535115,18," a "
"2","CTR:embryo",-0.227834743054673,0.208834506415763,18," ab"
"2","TBT:embryo",0.000741289584355376,0.208834506415763,18," ab"
"2","SER:embryo",0.38201349701766,0.12788449535115,18,"  b"
"2","CTR:provisioned_egg",-0.973263880420723,0.270790103333329,23," a  "
"2","FLX:provisioned_egg",-0.181722090072872,0.156340739053384,23," ab "
"2","SER:provisioned_egg",0.203422298940895,0.156340739053384,23,"  b "
"2","TBT:provisioned_egg",1.19505714165597,0.191477518345202,23,"   c"
"2","SER:unprovisioned_egg",-0.430180334654279,0.190141266988296,22," a "
"2","TBT:unprovisioned_egg",-0.364576038387853,0.25510127898826,22," a "
"2","FLX:unprovisioned_egg",-0.21963081854578,0.190141266988296,22," a "
"2","CTR:unprovisioned_egg",0.948787599568547,0.329334335039248,22,"  b"
"3","SER:embryo",-0.389489278548758,0.0835773767958057,18," a "
"3","TBT:embryo",-0.337085822172689,0.136481284793367,18," ab"
"3","FLX:embryo",-0.0328939268724639,0.0835773767958058,18,"  b"
"3","CTR:embryo",0.149739013846149,0.136481284793367,18,"  b"
"3","TBT:provisioned_egg",-0.516568698784938,0.130150557383185,23," a   "
"3","SER:provisioned_egg",0.0255387003202308,0.106267485109209,23,"  b  "
"3","FLX:provisioned_egg",0.463901801269908,0.106267485109209,23,"   c "
"3","CTR:provisioned_egg",1.28111590561048,0.184060683401718,23,"    d"
"3","CTR:unprovisioned_egg",-0.53194147372236,0.237021295423122,22," a"
"3","SER:unprovisioned_egg",-0.0252803322337294,0.136844308716213,22," a"
"3","FLX:unprovisioned_egg",0.0219535572708827,0.136844308716213,22," a"
"3","TBT:unprovisioned_egg",0.0835942851498052,0.183595905974052,22," a"
