"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","cluster","condition","control"
"GO:0031985","Golgi cisterna","7/58","74/8626",0.0945945945945946,14.0684995340168,9.28884166807094,5.43190622845262e-07,0.000685506566030721,0.000671269253916145,"116917596/116918846/116926306/116927095/116927482/116930219/116932960",7,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0005797","Golgi medial cisterna","5/58","30/8626",0.166666666666667,24.7873563218391,10.7377285751699,1.4447844424389e-06,0.000911658983178947,0.000892724702854353,"116917596/116918846/116926306/116930219/116932960",5,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0005795","Golgi stack","7/58","95/8626",0.0736842105263158,10.9586206896552,8.02998700408705,2.9905009816664e-06,0.001258004079621,0.00123187654472855,"116917596/116918846/116926306/116927095/116927482/116930219/116932960",7,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0019318","hexose metabolic process","6/58","87/8626",0.0689655172413793,10.256837098692,7.13957829175522,2.3518494875023e-05,0.00742008513306977,0.00726597710086238,"116925370/116925717/116927095/116927482/116930219/116935247",6,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0005996","monosaccharide metabolic process","6/58","106/8626",0.0566037735849057,8.41834743005856,6.32257695663907,7.20051944170225e-05,0.0181741110708565,0.0177966522622283,"116925370/116925717/116927095/116927482/116930219/116935247",6,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0006486","protein glycosylation","6/58","120/8626",0.05,7.43620689655172,5.84133010736447,0.000143402970525604,0.0258535069719017,0.0253165544957983,"116917596/116927095/116927453/116927469/116927482/116932960",6,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0043413","macromolecule glycosylation","6/58","120/8626",0.05,7.43620689655172,5.84133010736447,0.000143402970525604,0.0258535069719017,0.0253165544957983,"116917596/116927095/116927453/116927469/116927482/116932960",6,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0070085","glycosylation","6/58","125/8626",0.048,7.13875862068966,5.68793173120255,0.000179445536500649,0.0283075333829774,0.0277196131383898,"116917596/116927095/116927453/116927469/116927482/116932960",6,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0006094","gluconeogenesis","3/58","18/8626",0.166666666666667,24.7873563218391,8.31160931728482,0.000219137247226935,0.0297126371689952,0.0290955342700812,"116925370/116925717/116935247",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0016758","hexosyltransferase activity","6/58","133/8626",0.0451127819548872,6.70935960591133,5.4592939143492,0.000251671097453849,0.0297126371689952,0.0290955342700812,"116917596/116927095/116927453/116927469/116927482/116932960",6,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0019319","hexose biosynthetic process","3/58","19/8626",0.157894736842105,23.4827586206897,8.07150121671748,0.000258984951552256,0.0297126371689952,0.0290955342700812,"116925370/116925717/116935247",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0000138","Golgi trans cisterna","3/58","21/8626",0.142857142857143,21.2463054187192,7.64247125174887,0.000352089671872485,0.0370280971585897,0.0362590591910787,"116918846/116926306/116927482",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0009101","glycoprotein biosynthetic process","6/58","145/8626",0.0413793103448276,6.15410225921522,5.14952676915967,0.000400994845472164,0.0389273457681439,0.0381188622335482,"116917596/116927095/116927453/116927469/116927482/116932960",6,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
